province,total_loss,mean_loss,max_loss,std_loss,trend_slope,pct_recent,mean_loss_scaled,max_loss_scaled,std_loss_scaled,trend_slope_scaled,pct_recent_scaled
Aceh,917051.4649592007,36682.05859836803,69111.40355510244,15073.336829645516,1039.3267421029743,48.14392343114145,-0.4350218015012959,-0.46150801989793955,-0.41424600955974455,0.6009256320513503,0.6294317786931095
Bangka Belitung,733531.1298856614,29341.245195426458,63896.16598967828,13755.878815141317,825.2788176340225,51.193955585547,-0.5717722673049186,-0.5038898243862397,-0.46067810275295457,0.4936141568307668,1.0749149082669651
Bengkulu,504073.8345602564,20162.953382410255,29913.006504376364,5820.570355914502,374.40891901280855,49.02815298008954,-0.7427527311604079,-0.7800551194725917,-0.740347722459468,0.26757359103861605,0.7585810226307834
Jambi,2082198.3325445154,83287.93330178062,157247.17107793738,34310.67723321568,533.477520750462,44.676403238168014,0.4331892161392074,0.2547302761949574,0.2637490176626034,0.347321555687622,0.12297097132256785
Kepulauan Riau,157145.7408683555,6285.82963473422,19230.07659507112,3842.18718179901,47.34193490919779,43.482132817701554,-1.0012667448456998,-0.8668703107459667,-0.8100732627811298,0.10360077678599913,-0.05146237807619438
Lampung,329017.32933721284,13160.693173488513,30337.24824512801,5690.65679029357,46.550586276265406,41.90466252094931,-0.8731963608628752,-0.7766075046157888,-0.7449263570114337,0.10320403951594873,-0.281865327629345
Riau,4398541.160132471,175941.64640529882,355413.5074383197,90676.87215526124,-6050.945681160408,26.252790019351263,2.1592157107323136,1.8651357118877776,2.250302203231858,-2.9537343598355648,-2.5679543892254304
Sumatera Barat,786967.6586849306,31478.706347397227,51511.24748334984,9713.618073524913,760.5690145807033,50.435084681571055,-0.5319539539757686,-0.604536283565526,-0.6031423220295143,0.4611723359436301,0.9640753603109095
Sumatera Selatan,3405083.635956955,136203.3454382782,361298.08797214925,69806.67412282925,810.1937755211418,42.59979863275048,1.4189392768827562,1.912956954650309,1.5147592338664821,0.48605137327697123,-0.18033478798644698
Sumatera Utara,1694935.4294420087,67797.41717768036,121058.78344243603,19580.50655536887,20.753606579261017,40.62783284471742,0.14461965589668832,-0.03935588004899096,-0.2553966781666987,0.0902708987046603,-0.46835715830691893
