province,total_loss,mean_loss,max_loss,std_loss,trend_slope,pct_recent,cluster,cluster_label
Aceh,917051.4649592008,36682.05859836803,69111.40355510244,15073.336829645516,1039.3267421029743,48.14392343114145,0,Sedang – Stabil
Bangka Belitung,733531.1298856614,29341.245195426454,63896.16598967828,13755.878815141315,825.2788176340225,51.193955585547,0,Sedang – Stabil
Bengkulu,504073.8345602564,20162.95338241025,29913.006504376364,5820.570355914502,374.40891901280855,49.02815298008954,0,Sedang – Stabil
Jambi,2082198.3325445156,83287.93330178062,157247.17107793738,34310.67723321568,533.477520750462,44.676403238168014,0,Sedang – Stabil
Kepulauan Riau,157145.7408683555,6285.82963473422,19230.07659507112,3842.18718179901,47.34193490919779,43.482132817701554,0,Sedang – Stabil
Lampung,329017.32933721284,13160.693173488511,30337.24824512801,5690.65679029357,46.550586276265406,41.90466252094931,0,Sedang – Stabil
Riau,4398541.160132471,175941.64640529882,355413.5074383197,90676.87215526124,-6050.945681160408,26.252790019351263,1,Tinggi – Menurun
Sumatera Barat,786967.6586849306,31478.706347397227,51511.24748334984,9713.618073524913,760.5690145807033,50.435084681571055,0,Sedang – Stabil
Sumatera Selatan,3405083.635956955,136203.3454382782,361298.08797214925,69806.67412282925,810.1937755211418,42.59979863275048,1,Tinggi – Menurun
Sumatera Utara,1694935.4294420087,67797.41717768036,121058.78344243603,19580.50655536887,20.753606579261017,40.62783284471742,0,Sedang – Stabil
